utc_time,x,y,z,satellites,rms_residual_m,pdop,initial_guess_method,lat_deg,lon_deg,velocity_mps
2026-03-21 15:18:15,4436919.523726268,3085257.57522692,3376317.8224362563,"E02,E06,E10,E25",2.634178031930877e-09,5.671197484471727,previous_point_guess,32.168741459718596,34.81321712501825,
2026-03-21 15:18:17,4436920.063979008,3085256.688131751,3376318.2182551445,"E02,E06,E10,E12,E36",0.5716162362863912,3.222805208111394,previous_point_guess,32.168744783138614,34.813206133222614,0.5557615169815197
2026-03-21 15:18:19,4436920.523788797,3085255.3343224516,3376318.5151193114,"E02,E06,E10,E36",2.634178031930877e-09,4.693499006142426,previous_point_guess,32.16874894757202,34.81319156579667,0.7301289260026907
2026-03-21 15:18:21,4436920.929969951,3085253.026881386,3376318.772453974,"E02,E06,E10,E12,E36",0.3187617152403106,3.2219744104539436,previous_point_guess,32.16875563560354,34.81316902203698,1.1785041927497582
2026-03-21 15:18:23,4436921.298611062,3085250.051898084,3376319.072142274,"E02,E06,E10,E12,E36",2.139235070969956,3.2215633980241227,previous_point_guess,32.16876462468121,34.813140894833175,1.5063395195679699
2026-03-21 15:18:25,4436924.242467662,3085247.5122298985,3376320.0990358945,"E02,E06,E10,E25,E36",1.074225568115081,4.219200110649745,previous_point_guess,32.16876782035888,34.81310096962902,2.0106414825889196
2026-03-21 15:18:27,4436927.725485726,3085242.5588894445,3376321.6697200183,"E02,E06,E10,E25",2.634178031930877e-09,5.64262160922284,previous_point_guess,32.16877965767367,34.81303677105856,3.1278604949686506
2026-03-21 15:18:33,4436943.841792781,3085222.9328093994,3376329.874708578,"E02,E06,E10,E25,E36",1.027100188691988,4.212740605369461,previous_point_guess,32.16883255657392,34.81276838641944,5.066586871504092
2026-03-21 15:18:35,4436949.989800554,3085213.6345676887,3376333.2110874224,"E02,E06,E10,E25,E36",0.6771575901744676,4.211130523525682,previous_point_guess,32.16885927627588,34.812650236838714,5.817790007394368
2026-03-21 15:18:37,4436955.992064397,3085204.647919684,3376336.5417011725,"E02,E06,E10,E25",1.862645149230957e-09,5.61915177433438,previous_point_guess,32.1688856722817,34.8125356816926,5.654202011572863
2026-03-21 15:18:43,4436970.967330902,3085179.2031122358,3376346.8562567155,"E02,E06,E10,E34",0.0,8.291854032554069,motion_prediction_guess,32.16897512024008,34.812223553673235,4.699948169563744
